Name,Price,Rating
"Apple iPhone 15 (Black, 128 GB)","₹65,499",4.6
"Apple iPhone 15 (Black, 256 GB)","₹75,499",4.6
"Apple iPhone 15 (Blue, 128 GB)","₹65,499",4.6
"Apple iPhone 15 (Pink, 128 GB)","₹65,499",4.6
"Motorola g04s (Concord Black, 64 GB)","₹6,999",4.2
"Motorola g64 5G (Mint Green, 128 GB)","₹13,999",4.2
"Apple iPhone 14 Plus (Blue, 128 GB)","₹56,999",4.6
"POCO M6 5G (Galactic Black, 128 GB)","₹9,999",4.3
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",4.2
"Apple iPhone 15 (Blue, 256 GB)","₹75,499",4.6
"Apple iPhone 15 Plus (Blue, 128 GB)","₹74,999",4.6
"Apple iPhone 15 (Green, 128 GB)","₹65,499",4.6
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999",4.5
"Apple iPhone 14 Plus (Midnight, 128 GB)","₹56,999",4.6
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",4.2
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",4.2
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",4.2
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999",4.5
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999",4.5
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹22,999",4.5
"Motorola g04s (Satin Blue, 64 GB)","₹6,999",4.2
"Motorola g04s (Sea Green, 64 GB)","₹6,999",4.2
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",4.2
"Motorola g64 5G (Ice Lilac, 256 GB)","₹15,999",4.2
